"Source:","C:\Users\emmas\OneDrive\Documents\fs-2-schematics\discharge\tractive\tractive.kicad_sch"
"Date:","4/15/2024 8:34:48 PM"
"Tool:","Eeschema 7.0.8"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","16"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"D1","1","1N4001","1N4001","Library:D_DO-41_SOD81_P10.16mm_Horizontal","50V 1A General Purpose Rectifier Diode, DO-41","",""
"D2","1","20","D_Zener","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","Zener diode","",""
"J1","1","TSMP","1053091202","Library:MOLEX_1053091202","","",""
"J2","1","776261-1","776261-1","Library:CONN14_776261_TEC","","",""
"J3","1","TS","1053091202","Library:MOLEX_1053091202","","",""
"J4","1","Shutdown","1053091202","Library:MOLEX_1053091202","","",""
"J5","1","CAN","1053091202","Library:MOLEX_1053091202","","",""
"J6","1","GLV","1053091202","Library:MOLEX_1053091202","","",""
"PhoenixContact1","1","~","2961309","Library:relay","","",""
"R1","1","680","R","Library:resistor","Resistor","",""
"R3, R4","2","5k","R","Library:resistor_ts","Resistor","",""
"R5, R6","2","2k","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"U2","1","~","pmos","Library:G70P02K","","",""
"U3","1","PQDE6W-Q110-S5-H-D","PQDE6W-Q110-S5-H-D","1FS_2_Global_Footprint_Library:PQDE6W-Q110-S5-H-D_CUI","DCDC","",""
